         4643644 function calls (4640739 primitive calls) in 15.413 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:808(get_filename)
      101    0.012    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:813(get_data)
      101    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
      161    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:889(__init__)
    38/36    0.000    0.000    0.054    0.002 <frozen importlib._bootstrap_external>:900(create_module)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(exec_module)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       10    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_TagInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_Version)
        1    0.000    0.000    0.000    0.000 <string>:5(manifest_mod)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:200(DibImageFile)
        1    0.000    0.000    0.006    0.006 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:54(_accept)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:61(BmpImageFile)
        1    0.000    0.000    0.005    0.005 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:45(_accept)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:53(GifImageFile)
     1249    0.011    0.000    0.018    0.000 Image.py:1180(getpixel)
        1    0.000    0.000    0.000    0.000 Image.py:1928(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1964(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1969(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2204(_decompression_bomb_check)
        1    0.000    0.000    0.055    0.055 Image.py:2218(open)
        1    0.000    0.000    0.002    0.002 Image.py:2260(_open_core)
        6    0.000    0.000    0.000    0.000 Image.py:2392(register_open)
        5    0.000    0.000    0.000    0.000 Image.py:2407(register_mime)
        6    0.000    0.000    0.000    0.000 Image.py:2418(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:2429(register_save_all)
       12    0.000    0.000    0.000    0.000 Image.py:2441(register_extension)
        1    0.000    0.000    0.031    0.031 Image.py:27(<module>)
        1    0.000    0.000    0.053    0.053 Image.py:341(preinit)
        1    0.000    0.000    0.000    0.000 Image.py:37(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:401(_getdecoder)
        1    0.000    0.000    0.000    0.000 Image.py:41(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:442(_E)
        1    0.000    0.000    0.000    0.000 Image.py:477(Image)
        2    0.000    0.000    0.000    0.000 Image.py:491(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:511(_new)
        3    0.000    0.000    0.000    0.000 Image.py:617(__getattr__)
     1251    0.004    0.000    0.006    0.000 Image.py:739(load)
        1    0.000    0.000    0.001    0.001 Image.py:784(convert)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.001    0.001 ImageFile.py:124(load)
        1    0.000    0.000    0.000    0.000 ImageFile.py:251(load_prepare)
        1    0.000    0.000    0.000    0.000 ImageFile.py:273(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:303(Parser)
        4    0.000    0.000    0.000    0.000 ImageFile.py:496(_safe_read)
        1    0.000    0.000    0.000    0.000 ImageFile.py:69(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:78(ImageFile)
        1    0.000    0.000    0.002    0.002 ImageFile.py:81(__init__)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:23(ModeDescriptor)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:23(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:275(_accept)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:282(JpegImageFile)
        1    0.000    0.000    0.030    0.030 JpegImagePlugin.py:35(<module>)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:67(<module>)
        5    0.000    0.000    0.000    0.000 PngImagePlugin.py:107(read)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:125(close)
        5    0.000    0.000    0.001    0.000 PngImagePlugin.py:132(call)
        4    0.000    0.000    0.000    0.000 PngImagePlugin.py:138(crc)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:169(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:189(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:266(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:268(__init__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:282(check_text_memory)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:311(chunk_IHDR)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:326(chunk_IDAT)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:365(chunk_gAMA)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:372(chunk_pHYs)
        1    0.001    0.001    0.001    0.001 PngImagePlugin.py:385(chunk_tEXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:477(_accept)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:484(PngImageFile)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:489(_open)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:549(load_prepare)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:557(load_read)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:583(load_end)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:626(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:97(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:99(__init__)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:52(_accept)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:59(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:132(<listcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:214(_accept)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:231(ImageFileDirectory_v2)
        1    0.000    0.000    0.026    0.026 TiffImagePlugin.py:42(<module>)
